tempo,origem,destino,msg_id,delivered,forward_util
1365,1,5,1-2-1,0,1
1370,1,7,1-2-1,0,1
1385,5,7,1-2-1,0,0
1385,7,5,1-2-1,0,0
2890,1,7,1-2-1,0,0
2890,7,1,1-2-1,0,0
3125,1,8,1-2-1,0,1
3225,8,2,1-2-1,1,1
3265,1,2,1-2-1,0,0
6015,5,8,1-2-1,0,0
6660,5,1,1-2-1,0,0
6850,5,1,1-2-1,0,0
7860,7,1,1-2-1,0,0
7915,7,3,1-2-1,0,1
9050,5,1,1-2-1,0,0
9350,5,8,1-2-1,0,0
10000,7,6,1-2-1,0,1
10775,3,1,1-2-1,0,0
12135,5,1,1-2-1,0,0
12815,3,4,1-2-1,0,1
12840,4,5,1-2-1,0,0
12840,5,4,1-2-1,0,0
12845,5,3,1-2-1,0,0
12865,3,5,1-2-1,0,0
13440,3,2,1-2-1,0,0
13990,5,2,1-2-1,0,0
14660,6,3,1-2-1,0,0
15120,4,7,1-2-1,0,0
15120,7,4,1-2-1,0,0
16190,6,1,1-2-1,0,0
16330,4,2,1-2-1,0,0
16905,7,8,1-2-1,0,0
17560,7,3,1-2-1,0,0
20030,6,4,1-2-1,0,0
20380,7,5,1-2-1,0,0
20910,6,1,1-2-1,0,0
21180,6,1,1-2-1,0,0
21415,7,4,1-2-1,0,0
22140,7,3,1-2-1,0,0
22545,6,2,1-2-1,0,0
22705,7,8,1-2-1,0,0
24845,7,5,1-2-1,0,0
26860,7,2,1-2-1,0,0
